i,c,n,s
2273,00959,CENTURY ENT INT,2533
40632,00960,LONGFOR GROUP,10851
2282,00966,CHINA TAIPING,2753
97365,00968,XINYI SOLAR,17740
2287,00969,HUA LIEN INT'L,8094
2290,00970,NEW SPARKLEROLL,12786
129700,00974,SKL,15152
53070,00975,MONGOL MINING,11731
49675,00976,CHIHO ENV,2650
2299,00978,CHI MER LAND,2641
2301,00979,GREEN ENERGY GP,5913
6279,00980,LIANHUA,10809
7249,00981,SMIC,15177
2312,00983,SOCAM DEV,15186
2314,00984,AEON STORES,98
2316,00986,DUFU LIQUOR-NEW,5062
2317,00987,CH RENEW EN INV,2586
2319,00989,CHINA CBS INTL,2660
2321,00990,DEEP SOURCE,4755
2322,00991,DATANG POWER,4746
2325,00992,LENOVO GROUP,10791
2326,00993,XINKONG INT CAP,17733
158001,00994,CT VISION,4061
2328,00995,ANHUIEXPRESSWAY,200
2331,00997,CHINLINK INTL,2786
15124,00998,CITIC BANK,3758
1000236656,00999,XIAOCAIYUAN,17710
8414,01000,BEIJING MEDIA,344
2337,01001,HK SH ALLIANCE,6136
2338,01002,V.S. INT'L,17520
2342,01003,HUANXI MEDIA,8149
2343,01004,C SMARTERENERGY,2333
2345,01005,MATRIX HOLDINGS,10910
54112,01007,LONGHUI INTL,10852
31861,01008,LITU HOLDINGS,10835
52722,01009,INT'L ENT,8718
2350,01010,SKY BLUE 11,15153
61660,01011,NT PHARMA,12819
2355,01013,WAI CHUN GROUP,17573
49632,01020,CIPRUN TECH,3683
1000297158,01021,HUAYAN ROBOTICS,8164
115398,01022,FEIYU,5231
69350,01023,SITOY GROUP,15147
1000077859,01024,KUAISHOU-W,10733
215485,01025,KNT HOLDINGS,10709
49128,01026,UNIVERSAL TECH,17509
119410,01027,ASIA STRAT TECH,239
66793,01028,C.BANNER,2346
53238,01029,IRC,8733
80511,01030,SEAZEN,13293
2363,01033,SINOPEC SSC,15134
2370,01036,VANKE OVERSEAS,17527
2372,01037,MAXNERVA TECH,10913
2373,01038,CKI HOLDINGS,3840
52490,01039,CHANGYOU INT GP,2609
2382,01044,HENGAN INT'L,6090
2384,01045,APT SATELLITE,219
2386,01046,UNIVERSE ENT,17510
2389,01047,NGAI HING HONG,12801
2394,01049,CELESTIAL ASIA,2525
2395,01050,KARRIE INT'L,10666
2397,01051,G-RESOURCES,5333
2398,01052,YUEXIUTRANSPORT,17848
2400,01053,CHONGQING IRON,2796
2406,01055,CHINA SOUTH AIR,2748
59936,01057,ZHEJIANG SHIBAO,17890
2410,01058,NAMYUE HOLDINGS,12741
2412,01059,KANTONE HOLDING,10665
2414,01060,DAMAI ENT,4740
63524,01061,ESSEX BIO-TECH,5174
2418,01062,CDB INT'L INV,2469
2419,01063,SUNCORP TECH,15273
2420,01064,ZHONG HUA INT'L,17906
2422,01065,TIANJIN CAPITAL,15427
50340,01066,WEIGAO GROUP,17600
9848,01068,YURUN FOOD,17861
62156,01069,CN HEALTH TECH,3894
2427,01070,TCL ELECTRONICS,15368
2430,01071,HUADIAN POWER,8097
2433,01072,DONGFANG ELEC,4797
2434,01073,DA YU FIN,4727
57192,01075,CAPINFO,2406
55652,01079,PINE TECH,12941
41571,01080,SHENGLI PIPE,15024
1000303976,01081,DAJIN,4738
63589,01082,BDV EDU INTL,331
10227,01083,TG SMART ENERGY,15407
1000011568,01084,GREEN FRESH BIO,5914
57020,01085,HXTL,8629
55726,01086,GOODBABY INTL,5891
55027,01087,INVESTECH HLDGS,8731
9124,01088,CHINA SHENHUA,2747
55987,01090,DA MING INT'L,4725
55320,01091,SOUTH MANGANESE,15198
2467,01093,CSPC PHARMA,4052
2468,01094,CHERISH SUN,2627
2475,01097,I-CABLE COMM,8641
2478,01098,ROAD KING INFRA,13184
38248,01099,SINOPHARM,15135
2483,01100,MAINLAND HOLD,10890
55321,01101,HUARONG ENERGY,8151
56834,01102,ENVIRO ENERGY,5165
2489,01104,APAC RESOURCES,214
2492,01105,SING TAO,15085
80430,01107,MODERN LAND,11724
2498,01108,TRIUMPH NEW EN,15505
2499,01109,CHINA RES LAND,2737
55810,01110,KINGWORLD,10703
1000206363,01111,HUASHI GROUP,8153
56658,01112,H&H INTL HLDG,6028
124341,01113,CK ASSET,3835
2506,01114,BRILLIANCE CHI,2307
63667,01115,5100 XIZANG,11
7635,01116,HC TECH GP,6077
55873,01117,CH MODERN D,2583
2518,01118,GOLIK HOLDINGS,5888
207596,01119,IDREAMSKY,8682
2522,01120,ARTS OPTICAL,227
58570,01121,GOLDENSOLAR,5881
2526,01122,QINGLING MOTORS,13122
2527,01123,CHINA-HK PHOTO,2769
2528,01124,COASTAL GL,3919
2530,01125,LAI FUNG HOLD,10749
2532,01126,DREAM INT'L,4809
63995,01127,LION ROCK GROUP,10831
38864,01128,WYNN MACAU,17678
2538,01129,WATER INDUSTRY,17587
2541,01130,CHINA ENV RES,2675
2545,01132,ORANGE SKY G H,12859
2546,01133,HARBIN ELECTRIC,6065
1000002233,01134,KELFRED,10673
2556,01137,HK TECH VENTURE,6137
2559,01138,COSCO SHIP ENGY,3952
2562,01140,HK.AI CAPITAL,6139
2565,01141,CMBC CAPITAL,3872
2567,01142,E&P GLOBAL,5074
58395,01143,CN ENGY STORAGE,3891
63826,01145,COURAGE INV,3962
63670,01146,HUICHENG INTL H,8335
1000035778,01147,EDENSOFT,5098
84880,01148,POWER XINCHEN,12979
62470,01150,MILAN STATION,11688
68139,01152,MOMENTUM FIN,11730
1000062563,01153,JIAYUAN SER,8802
1000045901,01156,CHINANEWENERGY,2774
56944,01157,ZOOMLION,17958
2590,01159,SMART DIGI TECH,15169
7312,01160,GOLDSTONE CAP,5884
2595,01161,WATER OASIS GP,17588
1000034795,01162,LUMINA GROUP,10864
1000045670,01163,ADTIGER CORP,93
6369,01164,CGN MINING,2554
64026,01165,SFCE,13313
2608,01166,SOLARTECH INT'L,15192
1000068770,01167,JACOBIO-B,8768
2611,01168,Z FIN,17870
2615,01170,KINGMAKER,10698
2616,01171,YANKUANG ENERGY,17786
2618,01172,MAGNUSCONCORDIA,10888
2620,01173,VEEKO INT'L,17532
2626,01176,ZHUGUANG HOLD,17929
6833,01177,SBP GROUP,13265
1000057656,01179,HWORLD-S,8626
2639,01180,PARADISE ENT,12898
61591,01181,TANG PALACE,15358
2644,01182,SUCCESS DRAGON,15258
176391,01183,MECOM POWER,11623
2647,01184,S.A.S. DRAGON,13223
22226,01186,CHINA RAIL CONS,2731
1000301139,01187,COFOE MEDICAL,3922
2654,01188,HYBRID KINETIC,8630
1000307590,01191,CREALIGHTS,3992
2663,01193,CHINA RES GAS,2736
2667,01195,KINGWELL GROUP,10701
2670,01196,REALORD GROUP,13148
2674,01198,ROYALE HOME,13196
2678,01199,COSCO SHIP PORT,3955
2679,01200,MIDLAND HOLDING,11684
2680,01201,TESSON HOLDINGS,15401
2682,01202,SIWI SCI & TECH,15148
2683,01203,GUANGNAN (HOLD),5943
1000158208,01204,BOARDWARE INTEL,1239
2687,01205,CITIC RESOURCES,3774
68127,01206,TECHNOVATOR,15371
2693,01208,MMG,11714
1000066369,01209,CHINA RES MIXC,2738
2696,01211,BYD COMPANY,2318
2700,01213,MOBICON GROUP,11718
2705,01215,KAI YUAN HLDGS,10653
157951,01216,ZYBANK,17973
2711,01217,CH INNOVATION,2581
2714,01218,EASYKNIT INT'L,5087
2717,01220,ZHIDAO INT'L,17901
2719,01221,SINO HOTELS,15090
2720,01222,WANG ON GROUP,17580
2721,01223,SYMPHONY HOLD,15321
2722,01224,C C LAND,2323
2724,01225,LERADO FIN,10800
2727,01226,CH INV FIN GP,2582
1000125089,01228,CANBRIDGE-B,2398
2737,01229,NAN NAN RES,12742
63751,01231,NEWTON RES,12796
82229,01232,GW TIANDI,5960
97206,01233,TIMES CHINA,15444
38090,01234,CHINA LILANG,2696
66809,01235,TRAVEL EXPERT,15499
1000301498,01236,LDROBOT,10771
76357,01237,CH ENV TECH&BIO,2577
38982,01238,POWERLONG,12980
68730,01239,TEAMWAY INTL GP,15370
78845,01240,CNQC INT'L,3917
63557,01241,SHUANGHUA H,15058
139084,01243,WANG ON PPT,17581
1000177182,01244,3D MEDICINES,8
120731,01245,NIRAKU,12805
94968,01246,BOILLHEALTHCARE,1293
99373,01247,MIKO INTL,11687
89020,01250,SDHS NEW ENERGY,13286
69788,01251,SPT ENERGY,15219
69943,01252,CHINA TIANRUI,2756
108415,01253,GREEN BROAD,5911
91043,01255,TATA HEALTH,15364
154441,01257,CEB GREENTECH,2514
75058,01258,CHINFMINING,2784
64024,01259,PROSPER FUTURE,13083
73097,01260,WONDERFUL SKY,17655
69485,01262,LABIXIAOXIN,10747
67794,01265,TIANJINJINRAN,15429
96654,01268,MEIDONG AUTO,11636
68894,01269,FIRST CAP GP,5255
88318,01270,LANGHAM-SS,10762
92151,01271,GRAND MING,5900
147482,01272,DATANG ENVIRO,4745
94153,01273,HK FINANCE GP,6132
1000203267,01274,IMOTIONTECH,8694
1000260506,01276,HENGRUI PHARMA,6093
72926,01277,KINETIC DEV,10688
54300,01278,CHINANEWTOWN,2775
46008,01280,QIDIAN GUOFENG,13115
70419,01281,XINDA INV HLDGS,17723
49065,01282,RENZE HARVEST,13168
1000011147,01283,ACCEL GROUP,85
1000197045,01284,NEW MEDIA LAB,12782
111121,01285,JIASHILI GP,8799
1000001200,01286,IMPRO PRECISION,8698
49784,01288,ABC,79
108299,01289,SUNLIT SCI,15281
95415,01290,CHINA HUIRONG,2688
91303,01292,CMA LOGISTICS,3864
69599,01293,GRAND BAOXIN,5898
69789,01298,YUNNAN ENERGY,17859
54299,01299,AIA,114
72681,01300,TRIGIANT,15501
124583,01301,D&G TECH,4724
96020,01302,LIFETECH SCI,10817
70370,01303,HUILI RES,8337
1000264161,01304,FORTIOR,5279
114098,01305,WAI CHI HOLD,17571
52746,01308,SITC,15146
120151,01310,HKBN,6140
70416,01312,KONTA CHINA,10715
38345,01313,CR BLDG MAT TEC,3979
80881,01314,TSUI WAH HLDG,15522
70418,01315,GREEN ECONOMY,5912
90110,01316,NEXTEER,12799
114899,01317,MAPLELEAF EDU,10908
1000241857,01318,MAO GEPING,10905
84175,01319,OIWAHPAWN,12847
104067,01321,CHINA NEWCITY,2707
57783,01323,HUASHENG INTL,8152
117555,01326,TRANSMIT ENT,15495
117420,01327,LUXXU GROUP,10870
34288,01328,GOLDSTREAM INV,5885
107708,01330,DYNAGREEN ENV,5066
76412,01332,TOUYUN BIOTECH,15483
1000258801,01333,BRETON,2302
1000225297,01334,RUICHANG INTL,13207
76501,01335,SHEEN TAI,15021
69598,01336,NCI,12763
34552,01338,BAWANG GROUP,321
80970,01339,PICC GROUP,12938
101611,01340,HUISHENG INTL,8343
134431,01341,HAO TIAN INTL,6060
1000026945,01343,WEI YUAN HLDG,17595
95692,01345,SH PIONEER HLDG,15003
1000013608,01346,LEVER STYLE,10802
112822,01347,HUA HONG GRACE,8093
82802,01348,QUALI-SMART,13128
98312,01349,FUDANZHANGJIANG,5303
1000062360,01351,BRIGHT FUTURE,2303
1000224437,01354,KINGFARPROPERTY,10697
92445,01355,BIOSYSEN,1058
148851,01357,MEITU,11641
95808,01358,PW MEDTECH,13099
97518,01359,CHINA CINDA,2663
34919,01361,361 DEGREES,7
117549,01362,SIS MOBILE,15144
1000246249,01364,GUMING,5948
23896,01368,XTEP INT'L,17765
96602,01370,AOWEI HOLDING,211
95262,01371,CHINA ECOTOUR,2672
96764,01372,C CARBONNEUTRAL,2324
94086,01373,IH RETAIL,8688
107800,01375,CC SECURITIES,2430
1000034611,01376,RAFFLESINTERIOR,13142
58953,01378,CHINAHONGQIAO,2773
1000013221,01379,WENLING MCT,17609
60232,01380,CHI KINGSTONE,2639
15421,01382,PACIFICTEXTILES,12881
1000278301,01384,DEEPEXI TECH,4756
99269,01385,SHANGHAI FUDAN,15010
13304,01388,EMBRY HOLDINGS,5153
133077,01389,MAJOR HLDGS,10893
1000306692,01392,HQVT,6288
17838,01393,HIDILI INDUSTRY,6115
111927,01395,ELL ENV,5152
95197,01396,GBA AI COMP,5348
106092,01397,BAGUIO GREEN,282
12593,01398,ICBC,8647
13413,01399,VESON HLDG,17538
104907,01400,MOODY TECH HLDG,11734
1000013222,01401,FUTURE MACH LTD,5318
1000018448,01402,I-CONTROL,8642
1000176932,01405,DPC DASH,4804
1000137808,01406,CLARITY MEDICAL,3843
1000172926,01407,JY GAS,10634
1000055694,01408,MACAU E&M,10884
1000018762,01410,EDVANCE INTL,5102
1000019984,01412,Q P GROUP,13103
1000083319,01413,FEG HOLDINGS,5229
120456,01415,COWELL,3963
1000016998,01416,CTR HOLDINGS,4635
168433,01417,RIVERINE CHINA,13181
103736,01418,SINOMAX GROUP,15110
138741,01419,HUMAN HEALTH,8420
141236,01420,CHUAN HOLDING,2804
98794,01421,PROSP GP INTL,13080
1000013752,01425,JUSTIN ALLEN H,10628
97366,01426,SPRING REIT,15218
1000013753,01427,CH TIANBAO GP,2587
51339,01428,BRIGHT SMART,2304
1000057808,01429,SKYMISSION GP,15163
96540,01431,YST DAIRY,17836
108300,01432,CHINA SHENGMU,2746
1000027699,01433,CIRTEK HLDGS,3690
1000070839,01440,STAR SHINE HLDG,15232
1000019706,01442,INFINITY L&T,8707
112697,01443,FULUM GP HLDG,5311
108166,01446,HUNGFOOKTONG,8456
134429,01447,SFK,13315
98167,01448,FU SHOU YUAN,5302
1000050708,01449,LEADER EDU,10774
108213,01450,BE FRIENDS HLDG,333
186812,01451,MS GROUP HLDGS,11743
133350,01452,DENOX ENV,4762
1000055432,01455,FOURACE IND GP,5287
126431,01456,GLMS SEC,5855
147421,01458,ZHOU HEI YA,17926
135457,01459,JUJIANG CONS,10625
146517,01460,ICO GROUP,8680
126363,01461,ZHONGTAIFUTURES,17921
1000030608,01463,C-LINK SQ,2344
112877,01466,BAIJIN LIFE SCI,290
120729,01468,JAKOTA CAPITAL,8770
123590,01470,PROSPER ONE,13084
1000229162,01471,ZHONGMIAO,17917
1000026946,01472,SANG HING HLDGS,13255
1000079032,01473,PANGAEA CONNECT,12894
168186,01475,NISSIN FOODS,12806
132122,01476,FIN STREET SEC,5249
1000045671,01477,OCUMENSION-B,12846
114761,01478,Q TECH,13104
115347,01480,YAN TAT GROUP,17779
1000068771,01481,SMART GLOBE,15171
130033,01483,NET-A-GO TECH,12769
128754,01486,C CHENG HLDGS,2325
63109,01488,BEST FOOD HLDG,351
1000167850,01489,GC CONSTRUCTION,5351
1000069425,01490,AI X TECH,113
139082,01496,AP RENTALS,212
1000208867,01497,YAN PALACE,17778
126432,01498,PURAPHARM,13096
129699,01499,OKG TECH,12848
121312,01500,INCON,8700
1000013339,01501,INT MEDICAL,8717
1000044331,01502,FIN STREET PPT,5248
1000016858,01503,CMC REIT,3877
132637,01508,CHINA RE,2734
1000301499,01511,UISEE TECH,17494
98703,01513,LIVZON PHARMA,10838
96608,01515,CR MEDICAL,3986
1000063971,01516,SUNAC SERVICES,15271
149955,01518,NC HEALTHCARE,12762
1000205283,01519,J&T EXPRESS-W,8767
125040,01520,VIRTUAL MIND,17547
223553,01521,FRONTAGE,5294
97773,01522,BII TRANS TECH,951
142360,01523,PLOVER BAY TECH,12966
1000018763,01525,GENCH EDU,5370
142608,01526,RICI HEALTH,13175
130187,01527,TENGY ENV,15398
126040,01528,RS MACALLINE,13197
1000018100,01529,YUES INTL HLDG,17844
125086,01530,3SBIO,10
131961,01532,CHINA PARTYTIME,2725
149770,01536,YUK WING GP,17853
133777,01538,ZHONG AO HOME,17905
147161,01539,UNITY GP HLDGS,17508
200188,01540,LEFTFIELD PRINT,10783
1000200062,01541,IMMUNEONCO-B,8692
1000015261,01542,TAIZHOU WATER,15352
134802,01543,JOIN-SHARE,8845
209714,01545,DESIGN CAPITAL,4765
165181,01546,THELLOY DEV,15412
146360,01547,IBI GROUP HLDGS,8646
135102,01548,GENSCRIPT BIO,5373
142256,01549,EVER HARVEST GP,5184
156853,01551,GRCB,5905
162135,01552,BHCC HOLDING,362
1000016999,01553,MAIKE TUBE,10889
56570,01555,MIE HOLDINGS,11685
133284,01556,CHINNEY KW,2789
138606,01557,K.H. GP HLDGS,10648
144103,01559,KWAN ON HLDGS,10736
142609,01560,STAR GROUP ASIA,15231
133930,01561,PAN ASIA DATA H,12889
217248,01563,ALLI INTL ED LE,172
135452,01565,VIRSCEND EDU,17546
120187,01566,CA CULTURAL,2347
134809,01568,SUNDART HLDGS,15274
153107,01569,MINSHENG EDU,11705
138694,01570,WEIYE HOLDINGS,17605
157303,01571,XIN POINT HOLD,17720
147321,01572,CHINA ART FIN,2655
149856,01575,REGAL PARTNERS,13156
189906,01576,QILU EXPRESSWAY,13116
145771,01577,HUIXIN CREDIT,8345
138939,01578,BANK OF TIANJIN,303
142607,01579,YIHAI INTL,17816
148893,01580,DA SEN HLDGS,4726
148571,01581,PROGRESSIVE P,13079
1000011001,01582,CR CONSTRUCTION,3980
142359,01583,QINQIN FOODS,13125
140627,01585,YADEA,17776
142512,01586,LEON INSPECTION,10798
188670,01587,SHINEROAD INTL,15040
107831,01588,CHANJET,2611
145292,01591,SHUN WO GROUP,15062
189695,01592,ANCHORSTONE,195
1000016316,01593,CHEN LIN EDU,2620
147006,01596,YICHEN IND,17813
1000057657,01597,NATURE ENERGY T,12758
186568,01598,21CENTURY EDU,6
108375,01599,UCD,17492
54823,01600,TIAN LUN GAS,15417
1000019985,01601,ZGC TEC LEASING,17885
142361,01606,CDB LEASING,2471
147351,01608,VPOWER GROUP,17565
1000297574,01609,STAR SPORTS MED,15233
146950,01610,COFCO JOYCOME,3921
147570,01611,BITFIRE GROUP,1143
142605,01612,VINCENT MED,17545
73521,01613,SYNERTONE,15324
196257,01615,AB BUILDERS,76
76459,01616,A METAVERSE,60
148632,01617,NANFANG COMM,12745
38377,01618,MCC,11622
189309,01620,CINESE INTL,3647
176189,01621,VICO INTL HLDGS,17540
100537,01622,REDCO GROUP,13151
60408,01623,HILONG,6118
107907,01626,JIA YAO HLDGS,8786
150877,01627,ABLE ENG HLDGS,84
39543,01628,YUZHOU GROUP,17864
147777,01629,CHAMP ALLI INTL,2598
156445,01630,KIN SHING HLDGS,10685
157213,01631,REF HOLDINGS,13153
147976,01632,MSCTECH,12409
146949,01633,SHEUNG YUE GP,15034
147836,01635,DZUG,5072
102040,01636,CMRU,3883
149280,01637,SH GROUP HLDG,15000
41199,01638,KAISA GROUP,10655
1000013861,01640,QIAN XUN TECH,13113
1000286747,01641,HX COLDCHAIN,8628
1000071433,01643,MODERN CHI MED,11721
1000039181,01645,HAINA INTEL,6035
153469,01647,GRANDSHORES,5903
1000019986,01650,HYGIEIA GROUP,8633
163117,01651,TSUGAMI CHINA,15521
190681,01652,FUSEN PHARM,5313
200888,01653,MOS HOUSE,11739
154821,01655,OKURA HOLDINGS,12849
149859,01656,ISDN HOLDINGS,8736
1000029241,01657,SG GROUP HLDGS,13318
145447,01658,PSBC,13090
151189,01660,SEVEN ELEMENTS,13302
90740,01661,CH FRONTIER TEC,2578
134804,01662,YEE HOP HLDGS,17806
64316,01663,S HARBOURHOLD,13218
49339,01666,TONG REN TANG,15464
153473,01667,DIMMI LIFE HLDG,4779
37984,01668,CHINASOUTHCITY,2781
115502,01669,GIC GROUP,5384
183064,01671,TIANBAO ENERGY,15422
193226,01672,ASCLETIS-B,229
117312,01673,HUAZHANG TECH,8166
209023,01675,ASIAINFO TECH,241
158005,01676,GAODI HOLDINGS,5343
156303,01679,RISECOMM GP,13179
89728,01680,MACAU LEGEND,10885
98238,01681,CONSUN PHARMA,3942
52745,01682,HP LIVING TECH,6286
129431,01683,HOPE LIFE INT,6280
53496,01685,BOER POWER,1292
173139,01686,SUNEVISION,15276
3108,01687,PRC B2710,13008
1000306891,01688,LINGYI ITECH,10822
97209,01689,HUAXIHOLDINGS,8163
177057,01690,LAP KEI ENGRG,10765
1000012196,01691,JS GLOBAL LIFE,10614
1000011864,01692,TOWNRAY HLDGS,15485
158526,01693,BGMC,361
157306,01695,S&P INTL HLDG,13220
162607,01696,SISRAM MED,15145
169312,01697,SDITC,13287
1000167021,01698,TME-SW,15460
1000001201,01701,TU YI HLDG,15524
157774,01702,DONGGUANG CHEM,4798
214496,01703,EASYHOLD GROUP,5086
179515,01705,B & S INTL HLDG,271
164266,01707,GEOTECH HLDGS,5374
56299,01708,SAMPLE TECH,13230
163545,01709,DL HOLDINGS GP,4792
167445,01710,TRIO IND ELEC,15502
172987,01711,ULFERTS,17496
203651,01712,DRAGON MINING,4806
209536,01713,SICHUAN EN INV,15068
191119,01715,AI HEALTH TECH,112
180966,01716,MOST KWAI CHUNG,11740
38863,01717,AUSNUTRIA,255
124706,01718,WAN KEI GROUP,17577
174578,01719,CIL GROUP,3562
166175,01720,PUTIAN COMM,13097
191125,01721,FSM HOLDINGS,5300
169630,01722,KIN PANG HLDGS,10684
198697,01723,MOON INC,11735
194733,01725,C STRATEGIC TEC,2334
181833,01726,HKE HOLDINGS,6146
169631,01727,HEBEI CONS,6082
56480,01728,ZHENGTONGAUTO,17892
176388,01729,TIME INTERCON,15441
191122,01731,PROSPEROUS IND,13086
1000008121,01732,XIANGXING INT,17705
53011,01733,E-COMMODITIES,5075
181616,01735,CENTRAL NEW EGY,2529
201377,01736,PARENTING NET,12899
179885,01737,A & S GROUP,14
99402,01738,FS ANTHRACITE,5296
190214,01739,QEEKA HOME,13110
1000018968,01740,VALUES CULTURAL,17526
200889,01741,SHING CHI HLDGS,15042
185270,01742,HPC HOLDINGS,6287
1000019987,01745,LVJI TECH,10877
189409,01746,MAN SHUN GP,10896
1000013223,01747,HOME CONTROL,6269
198900,01748,XIN YUAN ENT,17721
188588,01749,SHANSHAN,15017
185015,01750,REM GROUP HLDGS,13162
188589,01751,AI ENERGY ENG,111
185271,01752,TOP EDUCATION,15476
212169,01753,DUIBA,5063
203957,01755,S-ENJOY SERVICE,13221
1000015544,01756,CHI SCI&EDU IND,2644
187385,01757,GLOBAL CHI BC,5857
192494,01758,BOJUN EDU,1294
208522,01759,SINO GAS HLDGS,15089
191129,01760,INTRON TECH,8723
205990,01762,WANKA ONLINE,17584
189809,01763,CIRC,3684
193454,01765,XJ INTL HLDGS,17745
25561,01766,CRRC,4000
210767,01767,TS WONDERS,15514
1000287608,01768,BUSYMING,2314
1000000421,01769,SCHOLAR EDU,13273
101554,01771,SUNFONDA GP,15277
191440,01772,GANFENGLITHIUM,5340
190892,01773,TIANLI INT HLDG,15433
191121,01775,BEXCELLENT GP,358
121060,01776,GF SEC,5380
39544,01777,FANTASIA,5208
108080,01778,COLOUR LIFE,3924
1000304114,01779,LONGBIO-B,10849
222081,01780,RONGZUN INT'L H,13193
207839,01782,IB DIGITAL TECH,8644
194734,01783,ENVISION GREEN,5166
210552,01785,CHENGDU EXPWAY,2624
134492,01786,CRCCE,3991
198899,01787,SD GOLD,13278
49634,01788,GUOTAI JUNAN I,5955
169314,01789,AK MEDICAL,165
202346,01790,TIL ENVIRO,15440
1000015092,01792,CMON,3882
214282,01793,WECON HOLDINGS,17594
1000062361,01795,YADONG GROUP,17777
209715,01796,METASPACEX,11664
219115,01797,EAST BUY,5082
56756,01798,DATANG RENEW,4747
134803,01799,XINTE ENERGY,17735
13273,01800,CHINA COMM CONS,2666
202911,01801,INNOVENT BIO,8714
1000019988,01802,WENYE GROUP,17611
70470,01803,BJ SPORTS & ENT,1229
13567,01808,ENTERPRISE DEV,5164
200463,01809,PRINX CHENGSHAN,13077
190371,01810,XIAOMI-W,17715
112365,01811,CGN NEW ENERGY,2555
23492,01812,CHENMING PAPER,2625
15992,01813,KWG GROUP,10738
179664,01815,EVEREST GOLD,5187
115406,01816,CGN POWER,2556
222838,01817,MULSANNE GROUP,12728
12990,01818,ZHAOJIN MINING,17886
209024,01820,PM PACKAGING,12969
62946,01822,CHINA WOOD INT,2767
39900,01823,HUAYUEXPRESSWAY,8165
201378,01825,STERLING GP,15251
158227,01826,FDB HOLDINGS,5215
215360,01827,MIRICOR,11708
1000264694,01828,FWD,5324
69865,01830,PERFECT MEDICAL,12914
56181,01831,SHIFANG HLDG,15035
222726,01832,SAI LEISURE,13226
185016,01833,PA GOODDOCTOR,12875
205309,01835,REALWAY CAPITAL,13149
16109,01836,STELLA HOLDINGS,15249
208282,01837,NATURAL FOOD IH,12757
211164,01841,A.PLUS GROUP,73
1000000342,01842,GROWN UP GROUP,5934
1000011569,01843,SNACK EMPIRE,15180
209717,01845,WG ENV TECH,17617
1000011570,01846,EUROEYES,5181
1000013127,01847,GHPC,5381
108421,01848,CALC,2352
1000000232,01849,AM GROUP,180
214942,01850,HSC RESOURCES,7291
210346,01851,GINGKO EDU,5387
1000010849,01853,CHUNCHENG HEAT,2814
218933,01854,CHINA WANTIAN,2764
1000070840,01855,ZONQING LTD,17957
108419,01856,ERNEST BOREL,5171
222840,01857,CEB WATER,2515
120150,01858,CHUNLI MEDICAL,2815
205991,01860,MOBVISTA,11719
226266,01861,PRECIOUS DRAGON,13061
95526,01862,JINGRUI HLDGS,8814
43466,01863,CHI LONGEVITY,2640
217092,01865,PENGO HLDG GP,12911
41122,01866,CHINA XLX FERT,2768
223554,01867,STD DEV GROUP,15247
13289,01868,NEO-NEON,12767
197277,01869,KAFELAKU COFFEE,10652
1000013224,01870,ACME INTL HLDGS,89
1000011002,01871,CHINA ORIENTED,2714
215622,01872,GUAN CHAO HLDGS,5941
210765,01873,VIVA BIOTECH,17554
1000013754,01875,BIODLINK-B,1053
1000002234,01876,BUD APAC,2312
209261,01877,JUNSHI BIO,10626
43259,01878,SOUTHGOBI,15199
1000300264,01879,XIZHI TECH-P,17743
1000163062,01880,CTG DUTY-FREE,4503
13374,01881,REGAL REIT,13157
13410,01882,HAITIAN INT'L,6038
14923,01883,CITIC TELECOM,3776
96504,01884,EPRINT GROUP,5169
12989,01888,KB LAMINATES,10669
14146,01889,SANAI HEALTH GP,13240
212167,01890,CHINA KEPEI,2693
216296,01891,HENG HUP,6088
200891,01894,HANG YICK HLDGS,6049
1000011003,01895,XINYUAN PM,17741
213026,01896,MAOYAN ENT,10906
217091,01897,MILLIONHOPE IND,11691
13272,01898,CHINA COAL,2664
13354,01899,XINGDA INT'L,17725
49783,01900,CHINA ITS,2691
1000001103,01901,FEIYANG GROUP,5230
222839,01903,JBB BUILDERS,8772
223487,01905,HAITONG UT,6039
220497,01906,BONNY HLDG,1298
217089,01907,CHINA RISUN GP,2740
107134,01908,C&D INTL GROUP,2340
1000001316,01909,FIRE ROCK,5254
63247,01910,SAMSONITE,13231
199809,01911,CR HOLDINGS,3981
1000002235,01912,CONTEL,3943
63444,01913,PRADA,12999
1000002981,01915,TAIHE M-FIN,15348
188671,01916,JIANGXI BANK,8795
217090,01917,DOUMOB,4802
41506,01918,SUNAC,15270
9217,01919,COSCO SHIP HOLD,3953
1000004713,01920,JUNWEA GROUP,10627
1000001881,01921,DALIPAL HLDG,4739
1000019535,01925,KWUNGS AROMA,10744
1000083320,01927,JIUJIUWANG,8827
40743,01928,SANDS CHINA LTD,13243
69691,01929,CHOW TAI FOOK,2799
1000000343,01930,SHINELONG,15039
1000002236,01931,ETHK LABS INC.,5179
157165,01932,CPM GROUP,3968
177607,01933,ONEFORCE HLDGS,12853
226825,01935,JH EDUCATION,8785
1000035779,01936,RITAMIX,13180
1000019989,01937,JIACHEN HOLDING,8787
44200,01938,CHU KONG PIPE,2802
200738,01939,SHANGSHAN GOLD,15016
1000062362,01940,CGII HLDGS,2553
1000027096,01941,YE XING GROUP,17804
1000033503,01942,MOG DIGITECH,11727
1000001202,01943,KING'S STONE,10693
1000069889,01945,ZERO2IPO,17882
1000177183,01947,MEIHAO GROUP,11638
1000121199,01948,UJU HOLDING,17495
